K,Generator Reconstruction Score All,Discriminator Reconstruction Score All,Generator Mean Diff Score All,Discriminator Mean Diff Score All,Generator Reconstruction Score Structural,Discriminator Reconstruction Score Structural,Generator Mean Diff Score Structural,Discriminator Mean Diff Score Structural,Generator Reconstruction Score Attribute,Discriminator Reconstruction Score Attribute,Generator Mean Diff Score Attribute,Discriminator Mean Diff Score Attribute
25,0.011111111111111112,0.011111111111111112,0.018518518518518517,0.0,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.0,0.014492753623188406,0.014492753623188406,0.021739130434782608,0.0
50,0.025925925925925925,0.025925925925925925,0.022222222222222223,0.0,0.03787878787878788,0.03787878787878788,0.015151515151515152,0.0,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.0
75,0.06666666666666667,0.06666666666666667,0.040740740740740744,0.0,0.09848484848484848,0.09848484848484848,0.045454545454545456,0.0,0.036231884057971016,0.036231884057971016,0.036231884057971016,0.0
100,0.1037037037037037,0.1037037037037037,0.05925925925925926,0.0,0.15151515151515152,0.15151515151515152,0.06060606060606061,0.0,0.057971014492753624,0.057971014492753624,0.057971014492753624,0.0
125,0.14074074074074075,0.14074074074074075,0.07037037037037037,0.025925925925925925,0.22727272727272727,0.22727272727272727,0.07575757575757576,0.0,0.057971014492753624,0.057971014492753624,0.06521739130434782,0.050724637681159424
150,0.18888888888888888,0.18888888888888888,0.07777777777777778,0.02962962962962963,0.3106060606060606,0.3106060606060606,0.07575757575757576,0.0,0.07246376811594203,0.07246376811594203,0.07971014492753623,0.057971014492753624
175,0.23703703703703705,0.23703703703703705,0.08148148148148149,0.03333333333333333,0.4015151515151515,0.4015151515151515,0.07575757575757576,0.0,0.07971014492753623,0.07971014492753623,0.08695652173913043,0.06521739130434782
200,0.2777777777777778,0.2777777777777778,0.08888888888888889,0.040740740740740744,0.4696969696969697,0.4696969696969697,0.08333333333333333,0.0,0.09420289855072464,0.09420289855072464,0.09420289855072464,0.07971014492753623
225,0.3148148148148148,0.3148148148148148,0.0962962962962963,0.044444444444444446,0.5303030303030303,0.5303030303030303,0.09090909090909091,0.0,0.10869565217391304,0.10869565217391304,0.10144927536231885,0.08695652173913043
250,0.35185185185185186,0.35185185185185186,0.1037037037037037,0.05555555555555555,0.5909090909090909,0.5909090909090909,0.09848484848484848,0.015151515151515152,0.12318840579710146,0.12318840579710146,0.10869565217391304,0.09420289855072464
